name,meal_type,servings_original,servings_scaled,scale_factor,scaling_warnings,prep_time,cook_time,total_time,ease,ingredients_original,ingredients_scaled,method,source_url,scraped_date,tags_key_ingredients,tags_cuisine,tags_season,tags_diet
Serdakh: Georgian Style Braised Aubergines with Herby Couscous and Greek Style Cheese,main,2,4,2,,,,45m,0.56,2 unit(s) Aubergine | 125 grams Baby Plum Tomatoes | 2 unit(s) Garlic Clove | 1 unit(s) Red Onion | 1 bunch(es) Flat Leaf Parsley | 1 sachet(s) Roasted Spice and Herb Blend | 1 sachet(s) Dried Basil | 30 grams Vegetable Stock Paste | 180 grams Couscous | 50 grams Greek Style Salad Cheese | 30 grams Butter | 1 tsp Sugar for the Sauce | 100 milliliter(s) Water for the Sauce | 200 milliliter(s) Water for the Couscous,4unit(s) Aubergine | 250 grams Baby Plum Tomatoes | 4unit(s) Garlic Clove | 2unit(s) Red Onion | 2bunch(es) Flat Leaf Parsley | 2sachet(s) Roasted Spice and Herb Blend | 2sachet(s) Dried Basil | 60 grams Vegetable Stock Paste | 360 grams Couscous | 100 grams Greek Style Salad Cheese | 60 grams Butter | 2 tsp Sugar for the Sauce | 200 milliliter(s) Water for the Sauce | 400 milliliter(s) Water for the Couscous,"Preheat your oven to 220°C/200°C fan/gas mark 7. Trim the aubergine, quarter lengthways, then cut into large 4cm pieces. Heat a large frying pan on high heat with enough oil to coat the bottom of the pan. When hot, add the aubergine, season with salt and pepper, then cook until charred, 10-12 mins. Turn only every couple of mins - this will result in the aubergine picking up some nice colour. TIP: Cook the aubergine in batches and add more oil to the pan if needed. | While the aubergine cooks, halve the baby plum tomatoes. Peel and thinly slice the garlic. Halve, peel and chop the red onion into 1cm pieces. Roughly chop the parsley (stalks and all). | Once the aubergine is charred, transfer to a deep, large ovenproof dish. Pop your (now empty) frying pan back on medium heat and ad d the butter (see pantry for amount). Allow to melt, then add the sliced garlic, roasted spice and herb blend and dried basil. Cook for 30 secs. Add the sugar and water for the sauce (see pantry for both amounts) and stir in half the vegetable stock paste until dissolved. Bring to the boil, then remove from the heat. | Nestle the tomato halves in with the aubergine pieces, then pour over the stock. Bake on the middle shelf of your oven until the aubergine is really tender, 20-25 mins. Halfway through, give the mixture a gentle stir to turn the veg. | While the aubergine bakes, heat a drizzle of oil in a medium saucepan on medium heat. Once hot, add the onion, season with salt and pepper and fry, stirring occasionally, until softened, 5-7 mins. Once softened, pour in the water for the couscous (see pantry for amount) and the remaining vegetable stock paste and bring to the boil. When boiling, remove from the heat, stir in the couscous and pop a lid on the pan. Leave to the side for 8-10 mins or until ready to serve. | When everything's ready, fluff up the couscous with a fork and stir in half the parsley. Share the parsley couscous between your bowls and top with your baked aubergine serdakh. Crumble over the Greek style salad cheese and remaining parsley to finish. Enjoy!",https://www.hellofresh.co.uk/recipes/serdakh-georgian-style-braised-aubergines-66fbf6bbacc2c875624694a2,2026-07-16,aubergine | couscous | cheese,Georgian | braised,Autumn | Winter,vegetarian
Caramelised Onion & Mushroom Pan-Fried Cheese Toastie with Truffle Chips and Balsamic Brussels Sprouts,main,2,4,2,,,,40m,0.6075,450 grams Potatoes | 1 unit(s) Onion | 200 grams Brussels Sprouts | 2 unit(s) Garlic Clove | 80 grams Mature Cheddar Cheese | 2 unit(s) Ciabatta | 12 milliliter(s) Balsamic Vinegar | 180 grams Sliced Mushrooms | 1 sachet(s) Truffle Zest | 20 grams Butter | 1 tsp Sugar | 1 tbsp Honey | 2 tbsp Mayonnaise,900 grams Potatoes | 2unit(s) Onion | 400 grams Brussels Sprouts | 4unit(s) Garlic Clove | 160 grams Mature Cheddar Cheese | 4unit(s) Ciabatta | 24 milliliter(s) Balsamic Vinegar | 360 grams Sliced Mushrooms | 2sachet(s) Truffle Zest | 40 grams Butter | 2 tsp Sugar | 2 tbsp Honey | 4 tbsp Mayonnaise,"Preheat your oven to 220°C/200°C fan/gas mark 7. Chop the potatoes lengthways into 1cm slices, then chop into 1cm wide chips (no need to peel). Pop the chips onto a large baking tray. Drizzle with oil, season with salt and pepper, then toss to coat. Spread out in a single layer. TIP: Use two baking trays if necessary. When the oven is hot, bake on the top shelf until golden, 25-30 mins. Turn halfway through. | Meanwhile, halve, peel and thinly slice the onion. Heat the butter (see pantry for amount) in a large frying pan on medium heat. Once melted, add the onion, season with salt and pepper and fry, stirring occasionally, until golden, 10-12 mins. Add the sugar (see pantry for amount) and cook until caramelised, 1-2 mins more. While the onion fries, trim the Brussels sprouts and halve through the root. Peel and grate the garlic (or use a garlic press). Pop the Brussels sprouts onto a baking tray. Drizzle over some oil and season with salt and pepper, then toss to coat. Spread out in a single layer. | When the chips have 20 mins remaining, add the sprouts the oven and roast on the middle shelf until browned and tender, 18-20 mins. Turn the sprouts halfway through and toss in the balsamic vinegar, then return to the oven for the remaining roasting time. | When the onion has caramelised, add the mushrooms to the pan. Fry, stirring occasionally, until browned, 5-6 mins. Grate the cheese. Halve the ciabattas. Add the garlic to the mushrooms for the last min of cooking time and fry, 1 min. Spoon the mushrooms onto the base of each ciabatta. Top with the cheese, then sandwich shut with the ciabatta lids and firmly press all the ingredients inside. | Give the frying pan a quick wipe, then add a drizzle of oil and return to a medium-high heat. Once hot, add the sandwiches, pressing down with a spatula or heavy-bottomed pan. Cook, pressing occasionally, until the bread is golden and toasted and the cheese has melted, 2-4 mins per side. Once the sprouts are roasted, drizzle over the honey (see pantry for amount) and toss until coated. Once the chips are ready, sprinkle over the truffle zest and toss together. | When everything's ready, share the mushroom grilled cheese sandwiches between your plates. Serve the honey-balsamic Brussels sprouts and truffle chips alongside with mayo (see pantry for amount) for dipping. Enjoy!",https://www.hellofresh.co.uk/recipes/caramelised-onion-and-mushroom-pan-fried-cheese-toastie-66fbf6b74c6de2e4afe67a48,2026-07-16,cheese | potato,British | bake,Autumn | Winter,vegetarian
"Super Quick Creamy Tikka Dal with Basmati Rice, Peas and Crispy Onions",main,2,4,2,,,,10m,0.8512,150 grams Basmati Rice | 1 sachet(s) North Indian Style Spice Mix | 75 grams Tikka Masala Paste | 1 carton(s) Lentils | 150 grams Creme Fraiche | 10 grams Vegetable Stock Paste | 40 grams Mango Chutney | 120 grams Peas | 1 sachet(s) Crispy Onions,300 grams Basmati Rice | 2sachet(s) North Indian Style Spice Mix | 150 grams Tikka Masala Paste | 2carton(s) Lentils | 300 grams Creme Fraiche | 20 grams Vegetable Stock Paste | 80 grams Mango Chutney | 240 grams Peas | 2sachet(s) Crispy Onions,"Boil a half-full kettle. Pour it into a saucepan with 1/4 tsp salt on high heat. Boil the rice, 10-12 mins. Once cooked, drain, pop back in the pan and cover. | Pop a saucepan on high heat. Add the North Indian style spice mix, tikka masala paste, lentils and their liquid, creme fraiche and veg stock paste. Stir and bring to the boil. Reduce the heat. Simmer, 6-8 mins. | Stir the mango chutney and peas into the lentils. Simmer for 1-2 mins. Season with salt and pepper. | Share the rice between your bowls. Spoon over the tikka dal. Sprinkle with the crispy onions. Enjoy!",https://www.hellofresh.co.uk/recipes/super-quick-creamy-tikka-dal-66f2daca409e10e806942eba,2026-07-16,lentil | rice,Indian | dal,Autumn | Winter,vegetarian
Sweet Chilli Gyozas and Sweet Potato Wedges with Smacked Sambal Cucumber Salad and Homemade Ponzu Sauce,main,2,4,2,chilli | soy sauce,,,40m,0.62,2 unit(s) Sweet Potato | 1 unit(s) Baby Cucumber | 15 milliliter(s) Rice Vinegar | 15 grams Sambal Paste | 1 unit(s) Lime | 15 milliliter(s) Soy Sauce | 10 unit(s) Vegetable Gyozas | 48 grams Sweet Chilli Sauce | 50 grams Baby Leaf Mix | 1 tsp Sugar for the Pickle | 1 tsp Sugar for the Sauce | 2 tbsp Mayonnaise,4unit(s) Sweet Potato | 2unit(s) Baby Cucumber | 30 milliliter(s) Rice Vinegar | 30 grams Sambal Paste | 2unit(s) Lime | 30 milliliter(s) Soy Sauce | 20unit(s) Vegetable Gyozas | 96 grams Sweet Chilli Sauce | 100 grams Baby Leaf Mix | 2 tsp Sugar for the Pickle | 2 tsp Sugar for the Sauce | 4 tbsp Mayonnaise,"Preheat your oven to 220°C/200°C fan/gas mark 7. Chop the sweet potatoes into 2cm wide wedges (no need to peel). Pop the wedges onto a large baking tray. Drizzle with oil, season with salt and pepper, then toss to coat. Spread out in a single layer. TIP: Use two baking trays if necessary. When the oven is hot, roast on the top shelf until golden, 25-35 mins. Turn halfway through. | Meanwhile, trim the cucumber, then pop onto a board and use a rolling pin to gently smack it a few times until split. Cut into roughly 2cm chunks. In a large bowl, combine the rice vinegar, sambal, sugar for the pickle (see pantry for amount) and a pinch of salt. Add the smacked cucumber, toss to coat, then set aside to pickle. | Halve the lime. Pop a small saucepan on medium heat. Add the soy sauce, sugar for the sauce (see pantry for amount) and half the juice from the lime. Gently heat, stirring, until the sugar has dissolved, 1 min. Remove from the heat and set your ponzu sauce aside. | Pop the gyozas onto a baking tray and drizzle with oil. Toss to coat. Bake on the middle shelf of your oven until golden, 15-18 mins. Turn halfway through. | When ready, remove the gyozas from the oven and drizzle over the sweet chilli sauce. Turn to coat. Add the baby leaves with a drizzle of oil to the bowl of smacked cucumber and toss to coat. TIP: Don't add the leaves too early or they'll go soggy. | Share the gyozas between your plates, drizzling over any remaining sweet chilli sauce from the tray. Serve the sweet potato wedges and smacked cucumber salad alongside. Add a dollop of mayo (see pantry for amount). Serve the ponzu sauce in a small dish for dipping. Enjoy!",https://www.hellofresh.co.uk/recipes/sweet-chilli-gyozas-and-sweet-potato-wedges-66f2dae978a030ba1fb1a05b,2026-07-16,sweet potato | gyozas,Asian | pan Asian | potato dish | wrap,Autumn | Winter,vegetarian
"Un-bear-lievable Uchucuta Inspired Cauliflower Salad with Smashed Potatoes, Peanuts and Soured Cream",main,2,4,2,,,,45m,0.585,450 grams Potatoes | 1 unit(s) Cauliflower | 1 bunch(es) Mint | 1 unit(s) Lemon | 160 grams Sweetcorn | 1 sachet(s) Central American Style Spice Mix | 25 grams Salted Peanuts | 50 grams Greek Style Salad Cheese | 75 grams Soured Cream | 1 tsp Sugar for the Dressing | ½ tbsp Olive Oil for the Dressing | 1 tbsp Honey,900 grams Potatoes | 2unit(s) Cauliflower | 2bunch(es) Mint | 2unit(s) Lemon | 320 grams Sweetcorn | 2sachet(s) Central American Style Spice Mix | 50 grams Salted Peanuts | 100 grams Greek Style Salad Cheese | 150 grams Soured Cream | 2 tsp Sugar for the Dressing | 1 tbsp Olive Oil for the Dressing | 2 tbsp Honey,"Preheat your oven to 240°C/220°C fan/gas mark 9. Chop the potatoes into 3cm chunks (no need to peel). Pop onto a large baking tray. Drizzle with oil, season with salt and pepper, then toss to coat. Spread out in a single layer. TIP: Use two baking trays if necessary. When the oven is hot, roast on the top shelf for 20 mins - you'll roast them for longer once you've crushed them. | Meanwhile, cut the cauliflower into florets (like small trees), halving any large ones. Pick the mint leaves from their stalks and roughly chop (discard the stalks). Cut the lemon into wedges. Drain the sweetcorn in a sieve. Heat a drizzle of oil in a large frying pan on high heat. Once hot, add the sweetcorn and cook until charred, 5-6 mins. Adjust the heat if necessary. Stir only twice during this time - you want the sweetcorn to pick up some nice colour. | While the sweetcorn chars, pop the cauliflower onto a baking tray. Drizzle with oil, sprinkle over the Central American style spice mix, season with salt and pepper, then toss to coat. Spread the florets out in a single layer. Roast on the middle shelf until golden brown and tender, 15-20 mins. Turn halfway through. | Meanwhile, in a large bowl, combine a good squeeze of lemon juice with the sugar and olive oil for the dressing (see pantry for both amounts). When the potatoes have cooked for 20 mins, remove them from the oven. Use the bottom of a bowl or pan to lightly crush each potato. Drizzle the smashed potatoes with more oil, and return to the top shelf of your oven until crispy and golden, 10-15 mins. | When the cauliflower is roasted, drizzle over the honey (see pantry for amount) and toss to coat. When everything's ready, add the cauliflower, sweetcorn, peanuts and half the mint to the lemon dressing. Crumble in the Greek style cheese, season with salt and pepper, then toss everything together. | Share the roasted cauli salad between your plates. Drizzle over the soured cream and sprinkle with the remaining mint. Serve the smashed potatoes alongside. Serve with any remaining lemon wedges for squeezing over. Enjoy!",https://www.hellofresh.co.uk/recipes/un-bear-lievable-uchucuta-inspired-cauliflower-salad-66e066f2a3dfaa8a349aa6d6,2026-07-16,cauliflower | potato,Central American | salad,Summer | Autumn,vegetarian
Chipotle Falafel Tacos with Spiced Chips and Baby Gem & Tomato Salad,main,2,4,2,,,,40m,0.595,450 grams Potatoes | 1 sachet(s) Mexican Style Spice Mix | 3 unit(s) Garlic Clove | 1 unit(s) Baby Gem Lettuce | 1 unit(s) Medium Tomato | 1 unit(s) Lime | 75 grams Greek Style Natural Yoghurt | 20 grams Chipotle Paste | 171 grams Ready to Eat Falafels | 4 unit(s) Plain Taco Tortillas | 50 grams Greek Style Salad Cheese | 1 tsp Sugar | 1 tbsp Olive Oil for the Dressing | 2 tbsp Mayonnaise,900 grams Potatoes | 2sachet(s) Mexican Style Spice Mix | 6unit(s) Garlic Clove | 2unit(s) Baby Gem Lettuce | 2unit(s) Medium Tomato | 2unit(s) Lime | 150 grams Greek Style Natural Yoghurt | 40 grams Chipotle Paste | 342 grams Ready to Eat Falafels | 8unit(s) Plain Taco Tortillas | 100 grams Greek Style Salad Cheese | 2 tsp Sugar | 2 tbsp Olive Oil for the Dressing | 4 tbsp Mayonnaise,"Preheat your oven to 220°C/200°C fan/gas mark 7. Chop the potatoes lengthways into 1cm slices, then chop into 1cm wide chips (no need to peel). Pop the chips onto a large baking tray. Sprinkle with the Mexican style spice mix. Drizzle with oil, season with salt and pepper, then toss to coat. Spread out in a single layer. TIP: Use two baking trays if necessary. When the oven is hot, bake on the top shelf until golden, 25-30 mins. Turn halfway through. | Meanwhile, pop the garlic (unpeeled) into a small piece of foil with a drizzle of oil and scrunch to enclose it. Roast the parcel until soft, 10-12 mins. Trim the baby gem, halve lengthways, then thinly slice. Cut the tomato into 1cm chunks. Cut the lime into wedges. | In a large bowl, combine half the lime juice with the sugar and olive oil for the dressing (see pantry for both amounts). Season with salt and pepper. Set aside. Once the garlic has cooled, cut the end with scissors, squeeze it out of the skin and mash with a fork. In a small bowl, combine the roasted garlic with the yoghurt and chipotle paste (add less if you'd prefer things milder). Set aside. | When the chips are nearly ready, put a large frying pan on high heat and add enough oil to completely coat the bottom of the pan. Once hot, carefully add the falafels to the pan and reduce the heat to medium-high. Cook until golden, 2-4 mins. Adust the heat as neccessary. | Pop the tortillas (2 per person) into the oven to warm through, 1-2 mins. Once the falafels are cooked, slice them in half. Add the lettuce and tomato to the bowl of lime dressing. Toss to evenly coat. | Top your tortillas with the baby gem & tomato salad, followed by the falafels. Spoon over the chipotle yoghurt and crumble over the Greek style salad cheese. Serve with the chips on the side with the mayonnaise (see pantry for amount) for dipping. Enjoy!",https://www.hellofresh.co.uk/recipes/chipotle-falafel-tacos-66cd8cedcb03862f83506f86,2026-07-16,falafel | taco tortilla,Mexican | taco | vegetarian,Autumn | Winter,vegetarian
Crispy Buffalo Chicken Tacos and Chips with Cheddar and Honey Mustard Baby Gem Salad,main,2,4,2,egg | salt,,,40m,0.57,450 grams Potatoes | 2 unit(s) British Chicken Breasts | 50 grams Panko Breadcrumbs | 1 sachet(s) Central American Style Spice Mix | 40 grams Mature Cheddar Cheese | 1 unit(s) Baby Gem Lettuce | 15 milliliter(s) Cider Vinegar | 30 grams Sriracha Sauce | 15 grams Honey | 75 grams Creme Fraiche | 30 grams Honey and Mustard Dressing | 6 unit(s) Plain Taco Tortillas | 1 unit(s) Egg | ¼ tsp Salt for the Breadcrumbs | 100 milliliter(s) Water for the Sauce | 2 tbsp Mayonnaise,900 grams Potatoes | 4unit(s) British Chicken Breasts | 100 grams Panko Breadcrumbs | 2sachet(s) Central American Style Spice Mix | 80 grams Mature Cheddar Cheese | 2unit(s) Baby Gem Lettuce | 30 milliliter(s) Cider Vinegar | 60 grams Sriracha Sauce | 30 grams Honey | 150 grams Creme Fraiche | 60 grams Honey and Mustard Dressing | 12unit(s) Plain Taco Tortillas | 2unit(s) Egg | 0.5 tsp Salt for the Breadcrumbs | 200 milliliter(s) Water for the Sauce | 4 tbsp Mayonnaise,"Preheat your oven to 220°C/200°C fan/gas mark 7. Chop the potatoes lengthways into 1cm slices, then chop into 1cm wide chips (no need to peel). Pop the chips onto a large baking tray. Drizzle with oil, season with salt and pepper, then toss to coat. Spread out in a single layer. TIP: Use two baking trays if necessary. When the oven is hot, bake on the top shelf until golden, 25-30 mins. Turn halfway through. | Meanwhile, sandwich each chicken breast between two pieces of baking paper or cling film. Pop onto a board, then give it a bash with the bottom of a saucepan until it’s 1-2 cm thick. Season with salt and pepper. Crack the egg (see pantry for amount) into a medium bowl and whisk. In another medium bowl, combine the panko breadcrumbs, Central American style spice mix and the salt (see pantry for amount). Dip the chicken into the egg and then the breadcrumbs, ensuring it's completely coated. Transfer to a clean plate. IMPORTANT: Wash your hands and equipment after handling raw chicken and its packaging and discard any excess egg. | Pop a large frying pan on high heat and add enough oil to coat the bottom of the pan. TIP: You want the oil to be hot so the chicken fries properly - heat for 2-3 mins before you add the chicken. Once hot, carefully lay the chicken into the pan, and fry until golden brown, 2-3 mins on each side. Adjust the heat if necessary. Transfer the chicken to a large baking tray, then bake on the middle shelf until cooked through, 8-10 mins. IMPORTANT: The chicken is cooked when no longer pink in the middle. | While the chicken bakes, grate the Cheddar cheese. Trim the baby gem, halve lengthways, then thinly slice. Carefully discard the hot oil from the chicken pan, then wipe out and return to medium-high heat. Pour in the cider vinegar and water for the sauce (see pantry for amount). Bring to the boil, then simmer until reduced by half, 2-3 mins. Stir in the sriracha and honey until thickened, 1-2 mins. TIP: If your honey has hardened, pop it in a bowl of hot water for 1 min. | Once your buffalo sauce has thickened, stir through the creme fraiche until piping hot, 1-2 mins. Season with salt and pepper. Add a splash of water if it's a little too thick, then remove from the heat. When the chips have 5 mins left, in a medium bowl, combine the baby gem with the honey and mustard dressing. Season with salt and pepper. Pop the tortillas (3 per person) into the oven to warm through, 1-2 mins. | When everything's ready, thinly slice the crispy chicken. Share the tortillas between your plates. Top with the salad, crispy chicken slices, a drizzle of buffalo sauce and a sprinkle of cheese - as much as you'd like. Serve your tacos and chips with the mayo (see pantry for amount) for dipping. TIP: Tacos are best enjoyed eaten by hand - get stuck in! Enjoy!",https://www.hellofresh.co.uk/recipes/crispy-buffalo-chicken-tacos-and-cheesy-chips-69e8e3e0fe534c766c45993a,2026-07-16,chicken | potato | cheddar | taco tortillas,American | buffalo | Mexican | taco,Autumn | Winter,meat
Chorizo-Crusted Penne 'n' Cheese with Garlicky Tenderstem Broccoli,main,2,4,2,,,,30m,0.6775,16 Plain Flour | 200 Penne Pasta | 150 Tenderstem® Broccoli | 1 Chicken Stock Powder | 1 Echalion Shallot | 1 Dried Thyme | 60 Chorizo | 1 Garlic Clove | 60 Mature Cheddar Cheese | 25 Panko Breadcrumbs | 150 Creme Fraiche | 1 Olive Oil | 200 Water for the Sauce,32Plain Flour | 400Penne Pasta | 300Tenderstem® Broccoli | 2Chicken Stock Powder | 2Echalion Shallot | 2Dried Thyme | 120Chorizo | 2Garlic Clove | 120Mature Cheddar Cheese | 50Panko Breadcrumbs | 300Creme Fraiche | 2Olive Oil | 400Water for the Sauce,"Preheat your oven to 200°C. Bring a large saucepan of water to the boil with 0.5 tsp of salt for the pasta. Halve, peel and thinly slice the shallot. Peel and grate the garlic (or use a garlic press). Grate the cheese. Once boiling, add the wheat penne to the water, simmer until cooked, 12 mins. Drain in a colander, pop back in the pan and stir through a little oil to stop it sticking together. | Heat a drizzle of oil in a frying pan on medium-high heat. Once the oil is hot, add the chorizo and stir-fry until it releases its lovely red oil, 1-2 mins. Don't let it take on too much colour! Pour the chorizo and all its oil into a bowl and add the breadcrumbs and the olive oil (see ingredient list for amount). Add a grind of pepper, stir to coat the crumbs in the oil and leave to the side. | Put your frying pan back on medium-high heat. Add the oil (see ingredients for amount) and the shallot. Stir-fry until the shallot is soft, 3-4 mins then stir in the flour. Cook until it forms a paste consistency, 1-2 mins. Gradually, stir in the water (see ingredient list for amount) and the stock powder. Bring to the boil, stir and simmer until thickened, 1-2 mins. Stir in the creme fraiche, then remove from the heat. | Add the dried thyme and cheddar to the sauce and stir until the cheese is melted. Taste and add salt and pepper if it needs it. Add the pasta to the sauce and stir to combine with a splash of water to loosen if you need to. Pour into an ovenproof dish. Sprinkle the chorizo crumb evenly over the top, then bake on the top shelf of your oven until the crumbs are golden, 5-6 mins. Once cooked, remove from your oven. Meanwhile, wash out your frying pan and pop back on medium high heat. | Add a drizzle of oil to your frying pan and once hot, add the Tenderstem broccoli and season with salt and pepper. Stir-fry until starting to char, 1-2 mins. Add the garlic to the pan and stir-fry for a minute longer, then add a splash of water and cover the pan with a lid or kitchen foil. Lower the heat to medium and steam the broccoli until tender, 4-5 mins. Remove the pan from the heat. | Spoon the penne 'n cheese into bowls and serve the broccoli alongside. Enjoy!",https://www.hellofresh.co.uk/recipes/double-chorizo-crusted-baked-penne-69bae02dd378378da7abd65a,2026-07-16,penne | chorizo | cheddar cheese | broccoli,Italian | bake,Autumn | Winter,meat
Honey Mustard Sausages and Onion Gravy with Spinach Mash and Carrots,main,2,4,2,,,,20m,0.7837,3 Carrot | 4 British Honey Mustard Sausages | 450 Potatoes | 1 Red Onion | 12 Balsamic Vinegar | 28 Red Wine Stock Paste | 25 Redcurrant Jelly | 100 Baby Spinach | 75 Water for the Sauce,6Carrot | 8British Honey Mustard Sausages | 900Potatoes | 2Red Onion | 24Balsamic Vinegar | 56Red Wine Stock Paste | 50Redcurrant Jelly | 200Baby Spinach | 150Water for the Sauce,"a) Preheat your oven to 240°C/220°C fan/gas mark 9. Fill and boil your kettle. b) Trim the carrots, then halve lengthways (no need to peel). Chop into roughly 1cm wide, 5cm long batons. Pop them onto a large baking tray. Drizzle with oil, season with salt and pepper, then toss to coat. c) Add the sausages to the tray. TIP: Use two baking trays if necessary. d) When the oven is hot, roast on the top shelf until the carrots are tender and the sausages are browned and cooked through, 16-18 mins. Turn halfway through. IMPORTANT: Wash your hands and equipment after handling raw sausages . They're cooked when no longer pink in the middle. | a) Meanwhile, chop the potatoes into 2cm chunks (peel first if you prefer). b) Pour the boiling water into a large saucepan with 1/2 tsp salt on high heat. c) Add the potatoes to the water and cook until you can easily slip a knife through, 15-18 mins. | a) Meanwhile, halve, peel and thinly slice the red onion. b) Heat a drizzle of oil in a small frying pan on medium-high heat. c) Once hot, add the onion and cook, stirring often, until softened, 5-7 mins. | a) Once the onions are soft, lower the heat to medium and add the balsamic vinegar. Cook until sticky, 1-2 mins. b) Add the water for the sauce (see pantry for amount) and bring to the boil. c) Stir in the red wine stock paste and redcurrant jelly. Simmer until the sauce has thickened slightly, 2-3 mins. Add a splash of water if it gets too thick. | a) When there is 1 min left of potato cooking time, add the spinach to the boiling water. b) Once the potatoes and spinach are cooked, drain in a colander and return to the pan. c) Add a knob of butter and a splash of milk (if you have any) and roughly mash. Season to taste with salt and pepper. | a) Share the mash between your plates and serve the sausages and carrots alongside. Spoon the onion gravy over to finish. Enjoy!",https://www.hellofresh.co.uk/recipes/honey-mustard-double-sausages-and-homemade-onion-gravy-692720ded4fb034401631fae,2026-07-16,sausage | potato,British | bake,Autumn | Winter,meat
"Ultimate Thai Green Style King Prawn Curry and Rice with Tenderstem® Broccoli, Baby Corn and Crispy Onions",main,2,4,2,,,,30m,0.69,150 grams Jasmine Rice | 60 grams Baby Corn | 80 grams Tenderstem® Broccoli | 1 unit(s) Lime | 2 unit(s) Garlic Clove | 225 grams King Prawns | 45 grams Thai Green Style Paste | 1 sachet(s) Thai Style Spice Mix | 200 milliliter(s) Coconut Milk | 10 grams Vegetable Stock Paste | 1 sachet(s) Crispy Onions | 300 milliliter(s) Water for the Rice,300 grams Jasmine Rice | 120 grams Baby Corn | 160 grams Tenderstem® Broccoli | 2unit(s) Lime | 4unit(s) Garlic Clove | 450 grams King Prawns | 90 grams Thai Green Style Paste | 2sachet(s) Thai Style Spice Mix | 400 milliliter(s) Coconut Milk | 20 grams Vegetable Stock Paste | 2sachet(s) Crispy Onions | 600 milliliter(s) Water for the Rice,"Pour the water for the rice (see pantry for amount) into a medium saucepan with a tight-fitting lid. Stir in the rice, 1/4 tsp salt and bring to the boil. Once boiling, turn the heat down to medium and cover with the lid. Leave to cook for 10 mins, then remove the pan from the heat (still covered) and leave to the side for another 10 mins or until ready to serve (the rice will continue to cook in its own steam). | While the rice cooks, halve the baby corn lengthways. Halve the broccoli withways, then cut any thick stems lengthways. Quarter the lime. Peel and grate the garlic (or use a garlic press). | Heat a drizzle of oil in a large frying pan on medium-high heat. Once hot, add the corn and broccoli. Stir-fry until starting to soften, 2-3 mins. Meanwhile, drain the prawns. IMPORTANT: Wash your hands and equipment after handling raw prawns. | Once the veg has started to soften, lower the heat to medium. Add the garlic, Thai green style paste and Thai style spice blend (add less if you'd prefer things milder). Stir-fry for 30 secs. Stir in the coconut milk and vegetable stock paste, bring to the boil, then lower the heat to a simmer. | Stir the prawns into the curry sauce and simmer until they're cooked and the sauce has thickened, 5-6 mins. IMPORTANT: The prawns are cooked when pink on the outside and opaque in the middle. Once the prawns are cooked, remove from the heat and squeeze in some lime juice. Season with salt and pepper. Add a splash of water if you feel it needs it. | Share the rice between your bowls. Spoon over your ultimate Thai green style king prawn curry and sprinkle over the crispy onions to finish. Serve any remaining lime wedges on the side for squeezing over. Enjoy!",https://www.hellofresh.co.uk/recipes/ultimate-red-thai-style-king-prawn-curry-68aeb2869f094575a25e07c7,2026-07-16,prawn | rice,Thai | curry,Autumn | Winter,fish
